iter	Passed	Remaining
436	2000	2576
437	2002	2568
438	2004	2561
439	2005	2552
440	2007	2544
441	2008	2535
442	2010	2527
443	2012	2519
444	2014	2512
445	2020	2509
446	2022	2501
447	2023	2493
448	2025	2485
449	2026	2476
450	2029	2470
451	2033	2464
452	2034	2457
453	2038	2451
454	2040	2443
455	2041	2435
456	2043	2427
457	2046	2421
458	2047	2413
459	2049	2405
460	2051	2399
461	2053	2390
462	2054	2382
463	2056	2375
464	2059	2369
465	2060	2361
466	2061	2353
467	2063	2345
468	2065	2338
469	2068	2332
470	2071	2326
471	2130	2383
472	2132	2376
473	2135	2369
474	2138	2363
475	2141	2357
476	2143	2350
477	2146	2344
478	2149	2337
479	2151	2330
480	2154	2324
481	2156	2317
482	2159	2311
483	2163	2306
484	2165	2299
485	2167	2292
486	2175	2291
487	2176	2284
488	2180	2278
489	2182	2271
490	2184	2264
491	2187	2258
492	2190	2252
493	2193	2246
494	2195	2240
495	2200	2236
496	2204	2230
497	2208	2226
498	2210	2219
499	2211	2211
500	2216	2207
501	2218	2201
502	2221	2195
503	2243	2207
504	2251	2206
505	2253	2200
506	2303	2239
507	2304	2232
508	2310	2229
509	2312	2222
510	2314	2215
511	2318	2209
512	2319	2201
513	2320	2194
514	2324	2189
515	2326	2182
516	2327	2174
517	2329	2167
518	2331	2161
519	2335	2155
520	2337	2149
521	2340	2143
522	2343	2137
523	2345	2130
524	2348	2124
525	2350	2118
526	2353	2112
527	2356	2106
528	2358	2100
529	2361	2093
530	2374	2097
531	2376	2090
532	2379	2084
533	2382	2078
534	2384	2072
535	2387	2066
536	2389	2060
537	2392	2054
538	2395	2048
539	2397	2042
540	2399	2036
541	2402	2030
542	2405	2024
543	2418	2027
544	2436	2034
545	2447	2034
546	2449	2028
547	2456	2026
548	2458	2019
549	2459	2012
550	2461	2005
551	2464	2000
552	2466	1993
553	2474	1992
554	2476	1985
555	2478	1979
556	2480	1972
557	2481	1965
558	2483	1959
559	2485	1953
560	2488	1947
561	2491	1941
562	2493	1935
563	2494	1928
564	2496	1921
565	2552	1957
566	2555	1951
567	2558	1945
568	2560	1939
569	2563	1933
570	2566	1927
571	2568	1921
